         87054601 function calls (85851824 primitive calls) in 16.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       16    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.015    0.015 collection.py:1(<module>)
        2    0.000    0.000    0.010    0.005 name.py:1(<module>)
      404    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        2    0.000    0.000    0.006    0.003 indexing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cast.py:1(<module>)
        2    0.000    0.000    0.000    0.000 textwrap.py:238(_wrap_chunks)
        1    0.000    0.000    0.000    0.000 opcodes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        2    0.000    0.000    0.016    0.008 connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Logger)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       21    0.000    0.000    0.001    0.000 base.py:464(__init_subclass__)
      202    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
      9/3    0.000    0.000    0.000    0.000 son.py:198(__deepcopy__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
       87    0.000    0.000    0.000    0.000 op.py:436(<listcomp>)
       66    0.000    0.000    0.000    0.000 son.py:79(__setitem__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        3    0.000    0.000    0.026    0.009 errors.py:1(<module>)
        1    0.000    0.000    0.003    0.003 uuid.py:1(<module>)
        4    0.000    0.000    0.001    0.000 _common.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 blocks.py:141(Block)
        1    0.000    0.000    0.100    0.100 uri_parser.py:1(<module>)
      161    0.000    0.000    0.000    0.000 _decorators.py:501(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       33    0.000    0.000    0.000    0.000 op.py:44(__init__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 _parser.py:256(getwhile)
        3    0.000    0.000    0.003    0.001 accessor.py:1(<module>)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
       66    0.000    0.000    0.000    0.000 enum.py:188(__get__)
       18    0.000    0.000    0.000    0.000 common.py:1751(pandas_dtype)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       12    0.000    0.000    0.000    0.000 typing.py:1599(__getitem_inner__)
        4    0.000    0.000    0.024    0.006 exceptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rolling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 server_description.py:27(ServerDescription)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:399(_default_mime_types)
        1    0.000    0.000    0.009    0.009 server.py:76(run_operation)
      425    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       50    0.000    0.000    0.000    0.000 config.py:742(config_prefix)
      100    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        2    0.000    0.000    0.001    0.000 socks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    1.809    0.603 api.py:95(get_ops)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 dsa.py:81(DSAPublicKey)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ewm.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
       10    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.001    0.001 _parser.py:1(<module>)
      616    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      121    0.000    0.000    0.000    0.000 inspect.py:755(_is_wrapper)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
        1    0.000    0.000    0.068    0.068 resolver.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _decorators.py:169(_deprecate_kwarg)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
       46    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      308    0.000    0.000    0.000    0.000 enum.py:230(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      243    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 dsa.py:30(DSAPrivateKey)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
       52    0.000    0.000    0.000    0.000 accessor.py:68(forbid_nonstring_types)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 melt.py:1(<module>)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2972(__array_finalize__)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.001    0.001 take.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        2    0.000    0.000    0.002    0.001 methods.py:73(_create_methods)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
       35    0.000    0.000    0.000    0.000 son.py:145(update)
        2    0.000    0.000    0.008    0.004 network.py:205(receive_message)
       13    0.000    0.000    0.000    0.000 typing.py:1673(__hash__)
       29    0.000    0.000    0.000    0.000 tac_cfg.py:856(<listcomp>)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        4    0.000    0.000    0.000    0.000 response.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1357(_missing_)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       23    0.000    0.000    0.000    0.000 <frozen io>:60(__getattr__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:261(_expand_vars)
       14    0.000    0.000    0.000    0.000 core.py:8154(getdoc)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
       52    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
       23    0.000    0.000    0.000    0.000 overrides.py:200(decorator)
       81    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_session.py:957(_apply_to)
       26    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 memtypes.py:46(Variable)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selectors.py:583(_can_use)
       78    0.000    0.000    0.000    0.000 _internal.py:881(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method pymongo._cmessage._op_msg}
        1    0.000    0.000    0.000    0.000 rsa.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        8    0.000    0.000    0.000    0.000 typing.py:2799(<dictcomp>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       14    0.000    0.000    0.001    0.000 __init__.py:411(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 database.py:68(Database)
        1    0.000    0.000    0.000    0.000 tz.py:488(_read_tzfile)
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
        2    0.000    0.000    0.001    0.001 settings.py:1(<module>)
       10    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.005    0.005 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:1(<module>)
      120    0.000    0.000    0.000    0.000 typing.py:1662(<genexpr>)
        1    0.000    0.000    0.057    0.057 query.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:115(PeriodArray)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:163(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 cursor.py:158(Cursor)
       75    0.000    0.000    0.000    0.000 config.py:772(wrap)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       15    0.000    0.000    0.000    0.000 typing.py:335(_flatten_literal_params)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        2    0.000    0.000    0.001    0.000 topology.py:227(_select_servers_loop)
        1    0.000    0.000    0.013    0.013 ssl_.py:1(<module>)
       11    0.000    0.000    0.000    0.000 traceback.py:458(format_frame_summary)
        1    0.000    0.000    0.000    0.000 accessors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:1311(unpack_response)
       39    0.000    0.000    0.000    0.000 enum.py:945(_find_data_repr_)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
      101    0.000    0.000    0.000    0.000 typing.py:456(__repr__)
        2    0.000    0.000    0.000    0.000 {built-in method time.tzset}
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.000    0.000 asserters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_manager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ec.py:1(<module>)
        1    0.000    0.000    0.002    0.002 adapters.py:1(<module>)
        6    0.000    0.000    0.000    0.000 tokenize.py:392(open)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       12    0.000    0.000    0.000    0.000 typing.py:1580(copy_with)
      225    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 ec.py:64(EllipticCurvePrivateKey)
       13    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1575(_array_str_implementation)
      262    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      168    0.000    0.000    0.000    0.000 expr.py:256(_node_not_implemented)
        2    0.000    0.000    0.001    0.000 _strptime.py:49(__init__)
       81    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        2    0.000    0.000    0.016    0.008 compat.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.001    0.001 cursor.py:1(<module>)
      181    0.000    0.000    0.000    0.000 expr.py:183(<genexpr>)
       78    0.000    0.000    0.000    0.000 _decorators.py:264(deprecate_nonkeyword_arguments)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:1552(__call__)
        1    0.000    0.000    0.001    0.001 client_session.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
       29    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _csot.py:95(apply)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       10    0.000    0.000    0.000    0.000 <frozen posixpath>:228(expanduser)
       10    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.004    0.004 client.py:1(<module>)
        1    0.000    0.000    0.001    0.001 masked.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:624(_hello)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dtypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 network.py:40(command)
        1    0.000    0.000    0.001    0.001 monitoring.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 range.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       17    0.000    0.000    0.000    0.000 dtypes.py:913(construct_from_string)
        1    0.000    0.000    0.000    0.000 topology.py:81(__init__)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6520(refer_to_array_attribute)
        6    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.002    0.002 zipfile.py:1(<module>)
       15    0.000    0.000    0.001    0.000 typing.py:483(__getitem__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       17    0.000    0.000    0.000    0.000 son.py:58(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 message.py:331(as_command)
        8    0.000    0.000    0.001    0.000 periodic_executor.py:56(open)
        8    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
       63    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 tz.py:458(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        1    0.000    0.000    0.000    0.000 numeric.py:43(NumericIndex)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:530(_init_fn)
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.000    0.000 interval.py:147(IntervalIndex)
        1    0.000    0.000    0.000    0.000 inference.py:1(<module>)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
       29    0.000    0.000    0.000    0.000 contextlib.py:284(helper)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:901(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 info.py:1(<module>)
       28    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _csot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pool.py:1138(__init__)
       17    0.000    0.000    0.000    0.000 son.py:68(__new__)
       11    0.000    0.000    0.001    0.000 _immutable_ctx.py:48(immutable)
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 docstrings.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
    64/36    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      2/1    0.000    0.000    0.002    0.002 sysconfig.py:629(get_config_vars)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
        1    0.000    0.000    0.000    0.000 masked.py:92(BaseMaskedArray)
       26    0.000    0.000    0.001    0.000 core.py:6801(__init__)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
       19    0.000    0.000    0.000    0.000 platform.py:910(system)
       24    0.000    0.000    0.000    0.000 <frozen os>:755(encode)
        6    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
        1    0.000    0.000    0.002    0.002 sessions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pymongo._cmessage._query_message}
        1    0.000    0.000    0.047    0.047 _decorators.py:1(<module>)
        8    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 codec_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:288(SparseArray)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.001    0.001 array_ops.py:1(<module>)
    28/26    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:322(_sanity_check)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
       11    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 client_options.py:129(_parse_pool_options)
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime_ms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 change_stream.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:121(_add_integer_aliases)
        1    0.000    0.000    0.001    0.001 pool.py:707(command)
        5    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
       62    0.000    0.000    0.000    0.000 common.py:965(get)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lattice.py:83(BoundedLatticeElement)
        1    0.000    0.000    0.000    0.000 arraylike.py:33(OpsMixin)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 topology_description.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 string_.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       52    0.000    0.000    0.000    0.000 common.py:33(wrapper)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        3    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        1    0.000    0.000    0.000    0.000 topology.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1293(_get_parent_path)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 xml.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
        1    0.000    0.000    0.001    0.001 column.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ec.py:125(EllipticCurvePublicKey)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
       14    0.000    0.000    0.000    0.000 core.py:8149(__init__)
        1    0.000    0.000    0.000    0.000 database.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:1800(<genexpr>)
       37    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
      131    0.000    0.000    0.000    0.000 expr.py:196(<lambda>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.002    0.002 zone.py:1(<module>)
        1    0.000    0.000    0.008    0.008 describe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mixins.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
       44    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 server_description.py:63(__init__)
      223    0.000    0.000    0.000    0.000 typing.py:2216(cast)
       38    0.000    0.000    0.000    0.000 platform.py:821(uname)
        1    0.000    0.000    0.000    0.000 ewm.py:140(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcodes.py:361(<dictcomp>)
        1    0.000    0.000    0.000    0.000 topology.py:720(_update_servers)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       14    0.000    0.000    0.000    0.000 name.py:321(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:1473(__or__)
      114    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       73    0.000    0.000    0.000    0.000 typing.py:1015(<genexpr>)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
        9    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       17    0.000    0.000    0.001    0.000 _immutable_ctx.py:36(_immutable_init)
        2    0.000    0.000    0.000    0.000 __init__.py:305(_compile_repl)
       39    0.000    0.000    0.005    0.000 six.py:190(find_spec)
        1    0.000    0.000    0.000    0.000 cursor.py:164(__init__)
        2    0.000    0.000    0.000    0.000 topology.py:765(_create_pool_for_monitor)
        1    0.000    0.000    0.000    0.000 ssl.py:1006(SSLSocket)
      3/1    0.000    0.000    0.000    0.000 typing.py:1395(_determine_new_args)
       17    0.000    0.000    0.000    0.000 <frozen posixpath>:388(normpath)
        1    0.000    0.000    0.002    0.002 bulk.py:1(<module>)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
      136    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      3/1    0.000    0.000    0.000    0.000 typing.py:1363(__getitem__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.001    0.001 pool.py:1446(_get_socket)
       20    0.000    0.000    0.000    0.000 config.py:844(is_one_of_factory)
        1    0.000    0.000    0.000    0.000 _io.py:1(<module>)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8166(_replace_return_type)
       49    0.000    0.000    0.000    0.000 traceback.py:316(line)
        1    0.000    0.000    0.001    0.001 pool.py:1341(connect)
       16    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        2    0.000    0.000    0.000    0.000 _parser.py:997(parse_template)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:274(IndexOpsMixin)
        2    0.000    0.000    0.001    0.001 pool.py:1385(get_socket)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.029    0.029 network.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rdatatype.py:23(RdataType)
       12    0.000    0.000    0.000    0.000 name.py:873(is_all_ascii)
        1    0.000    0.000    0.000    0.000 tile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1710(_parse_hextet)
        1    0.000    0.000    0.000    0.000 array.py:160(ArrowExtensionArray)
        1    0.000    0.000    0.002    0.002 _optional.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       53    0.000    0.000    0.000    0.000 typing.py:1667(__eq__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1650(HermiteE)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        3    0.000    0.000    0.001    0.000 dataclasses.py:1210(wrap)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        1    0.000    0.000    0.031    0.031 client_options.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    21/15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1297(_recalculate)
      149    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen os>:48(<listcomp>)
        1    0.000    0.000    0.003    0.003 py3k.py:1(<module>)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        1    0.000    0.000    0.000    0.000 dates.py:1(<module>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        2    0.000    0.000    0.000    0.000 dtype.py:1(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:198(split)
        5    0.000    0.000    0.000    0.000 codec_options.py:330(__new__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
      141    0.000    0.000    0.000    0.000 opcodes.py:7(__init__)
       14    0.000    0.000    0.000    0.000 _immutable_ctx.py:37(nf)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       14    0.000    0.000    0.000    0.000 getlimits.py:672(max)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        2    0.000    0.000    0.000    0.000 generic.py:160(pinner)
        1    0.000    0.000    0.000    0.000 base.py:16(BaseStringArrayMethods)
      118    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 objectid.py:46(ObjectId)
        1    0.000    0.000    0.001    0.001 header.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 tsig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:909(ExcelWriter)
        2    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.005    0.005 _pep440.py:1(<module>)
